document,$,'',(,),",",--,.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
D1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,90,1,2,0,12,190,1,0,11,0,0,0,0,33,2,0,0,0,0,0,22,3,1,2,31,0,1,0,0,0,0
D2,0,0,0,0,0,0,0,0,0,16,1,0,1,8,69,0,1,0,0,171,2,0,15,0,0,0,0,14,2,0,0,0,0,0,7,5,3,3,21,2,0,0,0,0,0
D3,0,0,0,0,0,0,0,0,0,1,1,0,0,10,91,2,0,0,10,196,0,0,11,0,0,0,0,41,3,0,0,0,0,0,24,11,1,2,33,2,0,0,0,0,0
D4,0,0,0,0,0,0,0,0,0,6,0,0,0,13,83,1,0,0,1,242,2,0,8,0,0,0,0,26,1,0,0,0,0,0,9,8,1,5,31,2,0,0,0,0,0
D5,0,0,0,0,0,0,0,0,0,4,3,0,0,8,28,0,0,0,2,106,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,3,1,2,8,0,0,1,0,0,0
